Section,Sous-section,Nom de la page,Route,Fonctionnalité 1,Fonctionnalité 2,Fonctionnalité 3,Fonctionnalité 4,Fonctionnalité 5,Notes
Admin Général,,Dashboard Admin,/admin/dashboard-general,Statistiques globales (places stages - institutions - étudiants - formateurs),Graphiques évolution offre en formation,Répartition étudiants par volée (pie chart),Vue d'ensemble système gamification,Liens rapides vers sections,Dashboard principal avec vue 360°
Admin Général,,Dashboard RM,/admin/dashboard-rm,Stats: modules gérés - enseignants - heures - étudiants,Liste modules assignés avec détails complets,Liste enseignants sous responsabilité,Actions rapides (gestion enseignants - planning - cours),Indicateurs performance module,Pour Responsables de Module uniquement
Admin Général,,Dashboard Enseignant,/admin/dashboard-enseignant,Stats: cours assignés - heures/semaine - prochain cours,Planning hebdomadaire visuel interactif,Liste des cours avec horaires et détails,Actions rapides (planning - cours - feedback),Vue étudiants par cours,Pour enseignants SI et Physio
Admin Général,,Gestion des Rôles,/role-management,Affichage permissions utilisateur actuel,Toggles modification permissions (admin - AdminSoins - etc.),Sauvegarde et réinitialisation permissions,Test état actuel permissions,Documentation permissions disponibles,Gestion fine des accès utilisateurs
Admin Général,,Rôles Utilisateurs,/admin/manage-user-roles,Liste tous utilisateurs avec rôles actuels,Attribution/retrait rôles par utilisateur,Recherche et filtres avancés utilisateurs,Gestion permissions en masse (bulk actions),Export liste utilisateurs,Gestion centralisée des accès
Admin Général,,Permissions,/permissions,Vue détaillée toutes permissions système,Documentation permissions Supabase complète,Matrice permissions par rôle,Tests vérification accès routes,Diagnostic permissions,Outil de debug permissions
Admin Général,,Routes & Accès,/router-inspector,Liste complète routes application,Affichage meta (need - requiredRole) par route,Debug navigation guards temps réel,Tests accessibilité routes par rôle,Documentation structure routing,Outil développeur pour routes
Admin Général,,Utilisateurs,/user_list,Liste complète utilisateurs base de données,Recherche - tri - filtres multiples,Édition profils utilisateurs inline,Export données (Excel - CSV - PDF),Statistiques utilisateurs,Gestion globale utilisateurs
Admin Général,,Paramètres,/admin/settings,Configuration globale application,Paramètres système avancés,Gestion thème et apparence,Options maintenance,Logs système,Configuration admin
PFP,,Dashboards PFP,/admin/dashboard-pfp,Stats PFP (places - institutions - stages),Graphiques répartition PFP1A/1B/2/3/4,Indicateurs taux occupation places,Alertes actions requises urgentes,Timeline activités PFP,Vue d'ensemble PFP
PFP,Listes & Utilisateurs,Étudiants,/etudiant_list,Liste étudiants avec classe et volée,Recherche et filtres par classe/statut,Édition fiches étudiants complètes,Export Excel/CSV avec filtres,Statistiques par classe,Gestion étudiants
PFP,Listes & Utilisateurs,Institutions,/institution_list,Liste institutions partenaires,Détails places disponibles par PFP,Localisation carte interactive Google Maps,Contacts répondants HES par institution,Export données institutions,Base institutions stages
PFP,Listes & Utilisateurs,Enseignants PHY,/enseignent_list,Liste enseignants physiothérapie,Cours assignés avec nombre d'heures,Modules dont responsable (RM),Statistiques enseignement détaillées,Historique cours,Enseignants Physio uniquement
PFP,Listes & Utilisateurs,Praticiens Formateurs,/praticien_formateur_list,Liste PF par institution,Places de formation disponibles,Historique encadrement étudiants,Évaluations et feedback,Contact et coordonnées,Base praticiens formateurs
PFP,Listes & Utilisateurs,Profil Utilisateur,/profilAdmin/:id,Vue détaillée profil complet,Historique toutes activités utilisateur,Documents liés et attachés,Notes administrateur privées,Timeline interactions,Profil administrateur
PFP,Listes & Utilisateurs,Répondant HES,/management_repondant,Liste répondants par institution,Gestion contacts et coordonnées,Communications envoyées (historique),Historique interactions et suivis,Statut répondant actif/inactif,Contacts institutions
PFP,Listes & Utilisateurs,Management Places,/management_place,Gestion globale places de stages,Création/modification/suppression places,Disponibilité par période académique,Statistiques occupation temps réel,Validation places HES,Gestion centrale places
PFP,Votations,Gestion Offres,/management_offre,Création offres de places détaillées,Édition détails places (horaires - services - critères),Publication et archivage offres,Suivi candidatures étudiants,Statistiques attractivité offres,Création offres stages
PFP,Votations,Votation Lese,/management_votation_prioritaire,Configuration votation prioritaire,Critères sélection automatique,Règles attribution places prioritaires,Validation lese étudiants,Export résultats lese,Votation prioritaire
PFP,Votations,Votation Étudiants,/management_votation_etudiants,Lancement votation pour étudiants,Suivi votes en temps réel,Configuration choix multiples (1er - 2e - 3e choix),Clôture votation avec deadline,Statistiques participation,Votation choix étudiants
PFP,Votations,Places Assignées,/places_asssigned,Vue toutes places assignées finales,Filtres par volée - période - institution,Export affectations (Excel - PDF),Modifications d'urgence assignations,Historique changements,Résultat final assignations
PFP,Votations,Assignement Places,/places_assignment,Algorithme attribution automatique,Attribution manuelle places spécifiques,Gestion conflits et arbitrage,Validation finale attribution,Preview avant validation,Processus attribution
PFP,Votations,Résultats Votation,/result_preview_votation,Résultats détaillés votation par étudiant,Graphiques satisfaction étudiants,Taux remplissage places par institution,Export résultats PDF complet,Analyse choix multiples,Analyse résultats votation
PFP,Gestion PFP,PFP en Cours,/management_pfpencours,Suivi PFP actifs en temps réel,État avancement par étudiant,Documents à valider (checklist),Alertes problèmes et retards,Timeline PFP par étudiant,Suivi stages actifs
PFP,Gestion PFP,Gantt PFP,/gantt,Vue Gantt planning PFP global,Timeline par volée (BA1 - BA2 - BA3),Jalons importants (deadlines - évaluations),Dépendances entre phases PFP,Export planning Gantt,Planning visuel PFP
PFP,Gestion PFP,Gestion Places Safe,/management_places_safe,Places sécurisées et réservées,Conventions avec institutions partenaires,Garanties attribution (étudiants spécifiques),Historique places safe années précédentes,Gestion renouvellements,Places garanties
PFP,Gestion PFP,Répartition Stages,/stage_repartition,Stats répartition géographique (carte),Équilibre types de services médicaux,Graphiques répartition par critères,Identification déséquilibres,Recommandations équilibrage,Analyse répartition
PFP,Gestion PFP,Validation PFP1A,/validate-pfp1a,Validation documents PFP1A étudiants,Checklist critères validation complète,Commentaires correctifs pour étudiants,Approbation finale avec signature,Historique validations,Validation PFP première année
Académique,,Dashboard Académique,/admin/dashboard-academique,Stats: cours - modules - enseignants,Planning hebdomadaire synthétique,Taux occupation salles en temps réel,Alertes conflits horaires automatiques,Indicateurs charge enseignement,Vue d'ensemble académique
Académique,,Enseignants SI,/admin/teachers-si,Liste enseignants Soins Infirmiers,Colonnes: Prénom - Nom - Heures - Module RM,Dropdown Module RM avec sauvegarde auto,Édition inline (clic sur nom/prénom) + dialog complet,Sélection multiple avec panneau sticky et actions groupées,Stats: total enseignants - heures totales - nombre avec RM | Nouveau système avec édition rapide
Académique,Planning,Vue Hebdomadaire,/admin/planning/weekly,Sélection année académique + semaine,Mode affichage: semaine ou semestre complet,DataTable créneaux: jour/horaire/module/enseignant/salle,Ajout/édition/suppression créneaux en temps réel,Duplication semaine complète vers autre période,Export Excel planning hebdo/semestre | Intégré avec AdminLayout
Académique,Planning,Gestion Planning,/admin/planning/manage,Vue globale planning annuel,Création modules et cours,Attribution enseignants aux cours,Gestion salles et ressources matérielles,Détection conflits automatique,Planning annuel complet
Académique,Cours,Liste des Cours,/admin/courses/list,DataTable tous cours avec pagination,Colonnes: code - nom - module - enseignant - horaire - salle - étudiants - statut,Filtres avancés: module - enseignant - statut,Recherche par nom ou code cours,Actions: voir détails - éditer - supprimer,Nouvelle page dédiée (plus de popup)
Académique,Cours,Créer un Cours,/admin/courses/create,Formulaire infos générales (code - nom - type - module - enseignant - étudiants - description),Section horaire & lieu (jour - heures début/fin - salle - dates - récurrence hebdomadaire),Options avancées (statut - capacité max - disponibilité online - lien visio - notes internes),Validation champs obligatoires automatique,Sauvegarde comme brouillon possible,Création complète cours
Académique,Cours,Détails Cours,/admin/courses/:id,Infos complètes cours toutes sections,Stats participants avec taux occupation,Liste ressources téléchargeables (PDF - vidéos - docs),Historique présences avec DataTable et stats,Actions rapides (email groupe - annonces - export données - duplication cours),Vue 360° d'un cours
Académique,Cours,Éditer Cours,/admin/courses/:id/edit,Formulaire pré-rempli toutes infos existantes,Modification tous champs (infos - horaire - options),Bouton accès rapide vue détails cours,Sauvegarde modifications avec validation,Historique modifications,Édition cours existant
Académique,Gestion,Tâches,/admin/academic/kanban,Kanban tâches académiques (À faire - En cours - Terminé),Attribution enseignants/responsables à tâches,Dates échéance avec alertes,Priorités (haute - moyenne - basse),Commentaires et pièces jointes,Gestion tâches style Trello
Académique,Gestion,Contenu Multimédia,/admin/academic/media-content,Bibliothèque vidéos et documents,Upload fichiers multiples (drag & drop),Organisation par module/cours,Intégration Vimeo pour vidéos,Partage liens avec étudiants,Médiathèque centralisée
Gamification,,Dashboard Gamification,/admin/dashboard-gamification,Stats globales: défis - quêtes - badges - utilisateurs actifs,Classement maisons en temps réel,Activité récente système gamification,Top joueurs (leaderboard),Graphiques engagement,Vue d'ensemble gamification
Gamification,,Gestion Défis,/admin/gamification/challenges,Création défis avec récompenses points/badges,Édition défis existants (titre - description - critères),Activation/désactivation défis par période,Statistiques participation et complétion,Difficulté et catégories défis,CRUD défis complet
